date,name,rank,nationality,branch,age,country,province,where,source,cause,state,city,state_pop_2010
2021-08-26,"Soviak, Maxton W.",Hospital Corpsman,United States,U.S. Navy,22,Afghanistan,Kabul,Kabul,hostile,hostile fire - suicide bomber,Ohio,Berlin Heights,11536504
2021-08-26,"Nikoui, Kareem M.",Lance Corporal,United States,U.S. Marine,20,Afghanistan,Kabul,Kabul,hostile,hostile fire - suicide bomber,California,Norco,37253956
2021-08-26,"Espinoza, David Lee",Lance Corporal,United States,U.S. Marine,20,Afghanistan,Kabul,Kabul,hostile,hostile fire - suicide bomber,Texas,Rio Bravo,25145561
2021-08-26,"McCollum, Rylee J.",Lance Corporal,United States,U.S. Marine,20,Afghanistan,Kabul,Kabul,hostile,hostile fire - suicide bomber,Wyoming,Jackson,563626
2021-08-26,"Schmitz, Jared M.",Lance Corporal,United States,U.S. Marine,20,Afghanistan,Kabul,Kabul,hostile,hostile fire - suicide bomber,Missouri,St. Charles,5988927
2021-08-26,"Lopez, Hunter",Corporal,United States,U.S. Marine,22,Afghanistan,Kabul,Kabul,hostile,hostile fire - suicide bomber,California,Indio,37253956
2021-08-26,"Hoover Jr., Darin Taylor",Staff Sergeant,United States,U.S. Marine,31,Afghanistan,Kabul,Kabul,hostile,hostile fire - suicide bomber,Utah,Salt Lake City,2763885
2021-08-26,"Page, Daegan William-Tyeler",Corporal,United States,U.S. Marine,23,Afghanistan,Kabul,Kabul,hostile,hostile fire - suicide bomber,Nebraska,Omaha,1826341
2021-08-26,"Rosario, Johanny",Sergeant,United States,U.S. Marine,25,Afghanistan,Kabul,Kabul,hostile,hostile fire - suicide bomber,Massachusetts,Lawrence,6547629
2021-08-26,"Gee, Nicole L.",Sergeant,United States,U.S. Marine,23,Afghanistan,Kabul,Kabul,hostile,hostile fire - suicide bomber,California,Sacramento,37253956
2021-08-26,"Sanchez, Humberto A.",Corporal,United States,U.S. Marine,22,Afghanistan,Kabul,Kabul,hostile,hostile fire - suicide bomber,Indiana,Logansport,6483802
2021-08-26,"Merola, Dylan R.",Lance Corporal,United States,U.S. Marine,20,Afghanistan,Kabul,Kabul,hostile,hostile fire - suicide bomber,California,Rancho Cucamonga,37253956
2021-08-26,"Knauss, Ryan C.",Staff Sergeant,United States,U.S. Army,23,Afghanistan,Kabul,Kabul,hostile,hostile fire - suicide bomber,Tennessee,Corryton,6346105
2020-11-27,"Leli, Kelliann",Captain,United States,U.S. Air Force,30,Afghanistan,NA,Al Dhafra Air Base,non-hostile,vehicle accident,New Jersey,Parlin,8791894
2020-07-12,"Allbaugh, Joseph Trent",1st Lieutenant,United States,U.S. Army,24,Afghanistan,Kandahar,Kandahar,non-hostile,incident,California,Folsom,37253956
2020-07-03,"Ibarria, Vincent Sebastian",Specialist,United States,U.S. Army,21,Afghanistan,Faryab,Farah,non-hostile,vehicle accident (rollover),Texas,San Antonio,25145561
2020-05-19,"Bowman, Trevarius Ravon",1st Lieutenant,United States,U.S. Army,25,Afghanistan,Parwan,Bagram Air Force Base,non-hostile,NA,South Carolina,Spartanburg,4625364
2020-02-12,"Kimball, Branden Tyme",Specialist,United States,U.S. Army,21,Afghanistan,Parwan,Bagram,non-hostile,NA,Oregon,Central Point,3831074
2020-02-08,"Rodriguez, Antonio Rey",Sergeant 1st Class,United States,U.S. Army,28,Afghanistan,Nangarhar,Nangarhar,hostile,hostile fire - small arms fire - green on blue,New Mexico,Las Cruces,2059179
2020-02-08,"Gutierrez, Javier Jaguar",Sergeant 1st Class,United States,U.S. Army,28,Afghanistan,Nangarhar,Nangarhar,hostile,hostile fire - small arms fire - green on blue,Texas,San Antonio,25145561
2020-01-27,"Phaneuf, Ryan S.",Captain,United States,U.S. Dept. of the Air Force,30,Afghanistan,Ghazni,Ghazni province,non-hostile,aircraft crash,New Hampshire,Hudson,1316470
2020-01-27,"Voss, Paul K.",Lieutenant Colonel,United States,U.S. Dept. of the Air Force,46,Afghanistan,Ghazni,Ghazni province,non-hostile,aircraft crash,Guam,Yigo,NA
2020-01-11,"Villalon, Miguel",Private 1st Class,United States,U.S. Army,21,Afghanistan,Kandahar,Kandahar,hostile,hostile fire - ied attack,Illinois,Joliet,12830632
2020-01-11,"McLaughlin, Ian P.",Staff Sergeant,United States,U.S. Army,29,Afghanistan,Kandahar,Kandahar,hostile,hostile fire - ied attack,Virginia,Newport News,8001024
2019-12-23,"Goble, Michael J.",Sergeant 1st Class,United States,U.S. Army,33,Afghanistan,Kunduz,Safarbai area of Chahar Dara district,hostile,hostile fire,New Jersey,Washington Township,8791894
2019-11-20,"Knadle, David C.",Chief Warrant Officer 2,United States,U.S. Army,33,Afghanistan,Logar,Charkh district,non-hostile,helicopter crash,Texas,Tarrant,25145561
2019-11-20,"Fuchigami Jr., Kirk T.",Chief Warrant Officer (CW5),United States,U.S. Army,25,Afghanistan,Logar,Charkh district,non-hostile,helicopter crash,Hawaii,Keaau,1360301
