fips,name,state,census_region,pop,female,white,black,travel_time,land_area,hh_income,per_dem_2012,per_gop_2012,per_dem_2016,per_gop_2016,per_gop_2020,per_dem_2020
01001,Autauga County,AL,South,55395,51.5,78.1,18.4,26.2,594.44,53682,0.265757664,0.726337362,0.23956855,0.734357893,0.714368023046453,0.27018365142239825
01003,Baldwin County,AL,South,200111,51.2,87.3,9.5,25.9,1589.78,50221,0.215665741,0.773897491,0.195653098,0.77351472,0.7617137282433283,0.22409029987509005
01005,Barbour County,AL,South,26887,46.5,50.2,47.6,24.6,884.88,32911,0.512522908,0.483375513,0.466602502,0.522714148,0.5345122646891044,0.45788172656398557
01007,Bibb County,AL,South,22506,46,76.3,22.1,27.6,622.58,36447,0.262185675,0.730663806,0.214220393,0.769661637,0.7842626367899947,0.20698280354351226
01009,Blount County,AL,South,57719,50.6,96,1.8,33.9,644.78,44145,0.123477898,0.864929108,0.084699023,0.898518752,0.8957155284906481,0.09569377990430622
01011,Bullock County,AL,South,10764,45.2,27.2,69.9,26.9,622.81,32033,0.763068823,0.235050771,0.750904063,0.242288875,0.24842835464990246,0.7470192933015392
01013,Butler County,AL,South,20296,53.4,54.3,43.6,24,776.83,29918,0.460508278,0.535800907,0.427864134,0.563154865,0.5752529510961214,0.4178962900505902
01015,Calhoun County,AL,South,115916,51.7,76,20.9,22.5,605.87,39962,0.335207612,0.65467128,0.278558764,0.692396994,0.6884843967597042,0.29845242531824334
01017,Chambers County,AL,South,34076,52,58.8,39.1,24.6,596.53,32402,0.470608433,0.521631644,0.418275512,0.56633764,0.5726903951845067,0.41644857367181365
01019,Cherokee County,AL,South,26037,50.4,93.2,4.5,26.9,553.7,34907,0.217805553,0.767749206,0.1451014,0.838712749,0.8603365580034144,0.13202178684659785
01021,Chilton County,AL,South,43931,50.8,87.5,10.3,31.8,692.85,41250,0.19450499,0.797866238,0.159353602,0.825417694,0.8329880890730191,0.1591403417918177
01023,Choctaw County,AL,South,13323,52.5,56.2,42.7,33.4,913.5,33941,0.475204018,0.521029504,0.427765548,0.564391855,0.5755627009646302,0.41894426580921756
01025,Clarke County,AL,South,24945,52.7,54.1,44.2,25.5,1238.47,29357,0.45685976700000003,0.539741086,0.441558442,0.549551639,0.5575942139322421,0.4381423677198325
01027,Clay County,AL,South,13552,50.8,83,14.4,30.7,603.96,34002,0.266566265,0.723192771,0.187766281,0.795800365,0.8082251082251082,0.18282828282828284
01029,Cleburne County,AL,South,15080,50.4,94.7,3.6,31.4,560.1,38019,0.15407807,0.836083783,0.104715248,0.878444581,0.8971910889719109,0.09339975093399751
01031,Coffee County,AL,South,50909,50.3,76.7,17.5,21.3,678.97,43768,0.248490997,0.742480345,0.204455711,0.771462,0.7586531986531987,0.22787878787878788
01033,Colbert County,AL,South,54543,51.9,80.8,16.4,22.7,592.62,39077,0.391888423,0.596004107,0.296272233,0.678875985,0.688625116545937,0.2991823854263788
01035,Conecuh County,AL,South,12670,51.7,52.1,46,27.2,850.16,24658,0.506345359,0.489662056,0.469050894,0.521626165,0.5343890700201832,0.46048750194069243
01037,Coosa County,AL,South,10886,50.2,66.5,31.3,30.2,650.93,37277,0.417318329,0.577531947,0.340800306,0.646371817,0.6627121737543348,0.3277970432560686
01039,Covington County,AL,South,37914,51.6,84.6,12.7,23.3,1030.46,35869,0.204670775,0.788063574,0.15039828,0.835883171,0.8368330464716007,0.15611015490533564
01041,Crenshaw County,AL,South,13977,51.5,71.9,24.1,30.3,608.84,36275,0.319450944,0.674777726,0.265994882,0.721529111,0.7350763185733716,0.2569140093698051
01043,Cullman County,AL,South,81289,50.4,96.2,1.4,26.4,734.84,38847,0.146331907,0.841822895,0.100059016,0.878105049,0.8812214761893383,0.10699863802537574
01045,Dale County,AL,South,49484,50.5,75.3,19.6,20.9,561.15,44889,0.284782492,0.70643092,0.236772842,0.741150561,0.724642820954504,0.2619313000303982
01047,Dallas County,AL,South,41711,53.5,29,69.6,22,978.7,26519,0.697315629,0.300152847,0.684783769,0.308809397,0.30922525750111957,0.6846171070309002
01049,DeKalb County,AL,South,71065,50.7,92.4,2,23.3,777.09,37851,0.219570506,0.768224142,0.141148509,0.834892279,0.8436776127537812,0.14583049461779535
01051,Elmore County,AL,South,80977,51.4,76.2,21.1,28.2,618.49,54766,0.252257336,0.739926637,0.228586912,0.748380978,0.7351693882524982,0.2526687789422374
01053,Escambia County,AL,South,37733,48.5,62.4,32.2,23.5,945.08,30687,0.369201726,0.624528047,0.308814829,0.675869322,0.6831552482715273,0.3091137649277184
01055,Etowah County,AL,South,103531,51.5,81.3,15.5,23.9,534.99,38013,0.301059073,0.684914097,0.238073331,0.739108433,0.7443848474689909,0.2423524974857526
01057,Fayette County,AL,South,16874,50.4,86.4,11.8,27.5,627.66,33838,0.227881699,0.762639029,0.165690581,0.818081991,0.8327629477526808,0.1591375770020534
01059,Franklin County,AL,South,31601,50.1,92.3,4.3,26.2,633.82,36415,0.292015839,0.69684133,0.18377248,0.791802593,0.8249324216886628,0.16584512641119414
01061,Geneva County,AL,South,26712,51,87.2,9.8,25.6,574.41,35625,0.180155505,0.810478883,0.130542928,0.854876061,0.8647269828616979,0.12714228776404943
01063,Greene County,AL,South,8553,52.3,18.7,80.2,28,647.11,24226,0.847222222,0.149962462,0.823940765,0.172357055,0.18324607329842932,0.8134031413612566
01065,Hale County,AL,South,15184,52.5,41,57.9,27.1,643.94,30051,0.625985165,0.371464998,0.595755306,0.396004994,0.40267609189598585,0.5916435243625348
01067,Henry County,AL,South,17190,51.8,70.1,27.5,26,561.75,41650,0.350114943,0.644252874,0.285144069,0.701384558,0.7105829210582921,0.2802753280275328
01069,Houston County,AL,South,104193,52,70.4,26.4,20.8,579.82,40948,0.295103124,0.698181297,0.250939805,0.727266238,0.7064301648149351,0.27975223615532885
01071,Jackson County,AL,South,52665,50.7,91.8,3.4,26.4,1077.87,37634,0.282996838,0.701629774,0.17623286,0.800721674,0.8322051108478592,0.15726011169402607
01073,Jefferson County,AL,South,660793,52.7,54.2,42.8,23.4,1111.28,45429,0.526187777,0.466057398,0.522493115,0.450220778,0.426097444207115,0.5575851317178562
01075,Lamar County,AL,South,14086,51.2,87,11.4,25.7,604.85,36028,0.229501327,0.761698561,0.149329101,0.839561391,0.858334491867093,0.13596552203531212
01077,Lauderdale County,AL,South,93096,52.1,87,10.2,24.5,667.7,42844,0.338788339,0.647610274,0.254476593,0.714580166,0.7154198335551095,0.26872505018155574
01079,Lawrence County,AL,South,33477,51.4,78.1,11.4,27.8,690.68,38551,0.359045387,0.62895092,0.246939752,0.73391233,0.7686357681991142,0.22219449815981535
01081,Lee County,AL,South,154255,50.5,71.4,23.5,21.4,607.54,43542,0.393125751,0.59247898,0.363928002,0.595148089,0.590924995451301,0.38992848045459
01083,Limestone County,AL,South,90787,49.6,82.4,13.2,26.3,559.94,48619,0.277043439,0.713523132,0.237055838,0.731573604,0.7035645374225652,0.27768863613283234
01085,Lowndes County,AL,South,10580,52.4,25.6,73.1,30.4,715.91,26230,0.764330363,0.233275702,0.731276213,0.262282804,0.2686174103877103,0.7274323335771763
01087,Macon County,AL,South,19425,53.9,16.7,81.5,23.1,608.89,30724,0.870967742,0.127298989,0.827274806,0.159350709,0.1766594061676029,0.8148572738736674
01089,Madison County,AL,South,350299,51.1,69.6,24.5,21,801.59,58434,0.399671478,0.586418076,0.39150828,0.559336063,0.5277074658438031,0.4481560017867503
01091,Marengo County,AL,South,20110,52.9,47.4,51.1,22.4,976.88,35079,0.534711965,0.462333826,0.512148338,0.477164779,0.4901834862385321,0.50348623853211
01093,Marion County,AL,South,30271,50.4,94,4.2,24,742.29,32888,0.185806345,0.801057502,0.110904585,0.873063817,0.8839718983124502,0.10596074454986601
01095,Marshall County,AL,South,94636,50.9,94,2.3,23.9,565.84,39526,0.193221383,0.794484671,0.140511941,0.835607036,0.8369940738872778,0.1498676081200353
01097,Mobile County,AL,South,415123,52.1,60.3,35.3,23.9,1229.44,43028,0.450183421,0.542893064,0.41881545,0.557492334,0.5527450809110961,0.43389530693804457
01099,Monroe County,AL,South,21947,52.3,55.4,41.3,23.3,1025.68,29203,0.458520599,0.536516854,0.42317133,0.566617575,0.5762092238470191,0.4176040494938133
01101,Montgomery County,AL,South,226189,52.5,39.5,56.3,19.3,784.25,44790,0.618907262,0.376131105,0.620363321,0.358753119,0.3360029857069367,0.6508941990538537
01103,Morgan County,AL,South,119607,50.8,83.8,12.4,23.7,579.34,44800,0.272389122,0.717691776,0.224360385,0.747974635,0.7383194966680318,0.24634228062990954
01105,Perry County,AL,South,9826,53.2,31.2,67.6,26.8,719.66,28209,0.747897774,0.247980214,0.727497621,0.266983825,0.2560229445506692,0.7380497131931166
01107,Pickens County,AL,South,20365,52,57.3,40.9,29.3,881.41,28741,0.463381602,0.533284717,0.418369497,0.574468085,0.5786098469176665,0.41601158460901944
01109,Pike County,AL,South,33389,51.9,58.8,36.8,18.7,672.09,33090,0.427473856,0.564772,0.386871401,0.589712092,0.5810273824145654,0.40719601184885484
01111,Randolph County,AL,South,22539,51.5,77.7,20.1,26.8,580.55,35213,0.296025407,0.694735829,0.226061204,0.75982231,0.7897942234935867,0.20328504198578942
